2024/10/22 19:17:04 Method: GET, Path: /parcels, Time: 2024-10-22T19:17:04+03:00
2024/10/22 19:23:20 Method: POST, Path: /parcel, Time: %!s(MISSING)
2024/10/22 19:23:25 Method: GET, Path: /parcels, Time: %!s(MISSING)
2024/10/22 19:25:43 Method: GET, Path: /parcel/6, Time: %!s(MISSING)
2024/10/22 19:27:15 Method: PUT, Path: /parcel/1, Time: %!s(MISSING)
2024/10/22 19:27:24 Method: GET, Path: /parcel/6, Time: %!s(MISSING)
2024/10/22 19:29:21 Method: DELETE, Path: /parcel/6, Time: %!s(MISSING)
2024/10/22 19:29:26 Method: GET, Path: /parcel/6, Time: %!s(MISSING)
2024/10/22 19:29:36 Method: DELETE, Path: /parcel/6, Time: %!s(MISSING)
2024/10/22 19:29:45 Method: GET, Path: /parcel/6, Time: %!s(MISSING)
2024/10/22 19:32:56 Method: GET, Path: /parcels, Time: %!s(MISSING)
2024/10/22 19:33:07 Method: GET, Path: /parcels, Time: %!s(MISSING)
2024/10/22 19:33:29 Method: GET, Path: /parcels, Time: %!s(MISSING)
2024/10/22 19:35:49 Method: GET, Path: /parcels, Time: %!s(MISSING)
2024/10/22 19:37:10 Method: GET, Path: /parcels, Time: %!s(MISSING)
2024/10/22 22:42:08 Method: GET, Path: /parcels, Time: 2024-10-22T22:42:08+03:00
2024/10/22 22:55:48 Method: GET, Path: /parcels, Time: 2024-10-22T22:55:48+03:00
2024/10/22 22:55:55 Method: GET, Path: /parcels, Time: 2024-10-22T22:55:55+03:00
2024/10/22 22:56:05 Method: GET, Path: /parcels, Time: 2024-10-22T22:56:05+03:00
2024/10/22 22:57:49 Method: GET, Path: /parcels, Time: 2024-10-22T22:57:49+03:00
2024/10/22 22:59:03 Method: POST, Path: /parcel, Time: 2024-10-22T22:59:03+03:00
2024/10/22 22:59:35 Method: POST, Path: /parcel, Time: 2024-10-22T22:59:35+03:00
2024/10/22 22:59:42 Method: GET, Path: /parcels, Time: 2024-10-22T22:59:42+03:00
2024/10/22 23:00:18 Method: GET, Path: /parcel/6, Time: 2024-10-22T23:00:18+03:00
2024/10/22 23:04:06 Method: PUT, Path: /parcel/6, Time: 2024-10-22T23:04:06+03:00
2024/10/22 23:04:18 Method: PUT, Path: /parcel/6, Time: 2024-10-22T23:04:18+03:00
2024/10/22 23:11:28 Method: PUT, Path: /parcel/6, Time: 2024-10-22T23:11:28+03:00
2024/10/22 23:11:41 Method: GET, Path: /parcel/6, Time: 2024-10-22T23:11:41+03:00
2024/10/22 23:11:46 Method: GET, Path: /parcels, Time: 2024-10-22T23:11:46+03:00
2024/10/22 23:13:28 Method: DELETE, Path: /parcel/7, Time: 2024-10-22T23:13:28+03:00
2024/10/22 23:13:34 Method: GET, Path: /parcels, Time: 2024-10-22T23:13:34+03:00
2024/10/22 23:13:52 Method: GET, Path: /parcels, Time: 2024-10-22T23:13:52+03:00
2024/10/22 23:14:02 Method: GET, Path: /parcels, Time: 2024-10-22T23:14:02+03:00
2024/10/22 23:14:13 Method: GET, Path: /parcels, Time: 2024-10-22T23:14:13+03:00
2024/10/22 23:17:56 Method: GET, Path: /parcels, Time: 2024-10-22T23:17:56+03:00
2024/10/22 23:18:06 Method: DELETE, Path: /parcel/6, Time: 2024-10-22T23:18:06+03:00
